tweet,text_cl,text_lm,sentiment
going swimming for all by myself  anyone wanna join me?!,going swimming for all by myself anyone want to join me,going swimming anyone want join,0
sitting at my desk eating dinner. Great Thai but a bit of a sad situation overall ,sitting at my desk eating dinner great thai but a bit of a sad situation overall,sitting desk eating dinner great thai sad situation overall,0
@absolutelytrue she didn't...you must not have the international language pack installed ,user she did not you must not have the international language pack installed,user not must not international language pack installed,0
missing my little kitten Lili-Beth who was run over two days ago  i miss her naughtiness,missing my little kitten lili beth who was run over two days ago i miss her naughtiness,missing little kitten lili beth run two day ago miss naughtiness,0
Something is botherin' the shit outta me &amp; I can't sleep!  I hate when this happens cause then I'll have a really bad sleep.,something is botherin the shit outta me i can not sleep i hate when this happens because then i will have a really bad sleep,something botherin shit outta not sleep hate happens really bad sleep,0
"Wow, overslept by about an hour and a half. Woke up still feeling sick too. ",overslept by about an hour and a half woke up still feeling sick too,overslept hour half woke still feeling sick,0
i hate to be grammatically incorrect.. but this stupid keyboard of mine isnt letting me type right so am missing out letters ,i hate to be grammatically incorrect but this stupid keyboard of mine is not letting me type right so am missing out letters,hate grammatically incorrect stupid keyboard mine not letting type right missing letter,0
I have the worst heartburn ,i have the worst heartburn,worst heartburn,0
"It looks like all the Newport twits are enjoying the sunshine, very few tweets today  what have you been up to? Http://the-port.co.uk",it looks like all the newport twit is are enjoying the sunshine very few tweets today what have you been up to url,look like newport twit enjoying sunshine tweet today url,0
http://bit.ly/dIQF3 I hope some day my mom will get this message! ,url i hope some day my mom will get this message,url hope day mom get message,0
Oh yes. Which i still am unable to locate. ,yes which i still am unable to locate,yes still unable locate,0
"back at work... cold diminished to the odd sniff, but I feel sick to my stomach this morning, rubbish. ",back at work cold diminished to the odd sniff but i feel sick to my stomach this morning rubbish,back work cold diminished odd sniff feel sick stomach morning rubbish,0
DAMN LAKERS! I wanted ORLANDO to WIN! ,damn lakers i wanted orlando to win,damn lakers wanted orlando win,0
"Yes the blackberry finally restarted offically twitting from the iPod from now on, hate not having buttons tho ",yes the blackberry finally restarted offically twitting from the ipod from now on hate not having buttons tho,yes blackberry finally restarted offically twitting ipod hate not button tho,0
Phillies blow it again ,phillies blow it again,phillies blow,0
"@KissNTell86 I know...it was a joke...an apparently, bad joke  Now it's off to sleep on downer....",user i know it was a joke an apparently bad joke now it is off to sleep on downer,user know joke apparently bad joke sleep downer,0
Thought I saw @10omarion at cadbury world today  but I didn't. NOT FAIR,thought i saw user at cadbury world today but i did not not fair,thought saw user cadbury world today not not fair,0
@sebattical I'm only doing it because I've run out of distraction techniques  I've literally gone through every single one,user i am only doing it because i have run out of distraction techniques i have literally gone through every single one,user run distraction technique literally gone every single one,0
"Still @ school, in about 45 minutes I have lunch in my own!!! Ã It's seriously not normal and not fair...  Twitter will help me! xoxo",still user school in about minutes i have lunch in my own it is seriously not normal and not fair twitter will help me xoxo,still user school minute lunch seriously not normal not fair twitter help xoxo,0
"@stickifingers be cautious with I Carusi the ownership has changed &amp; service is worse than ever,  love was missing from the kitchen too ",user be cautious with i carusi the ownership has changed service is worse than ever love was missing from the kitchen too,user cautious carusi ownership changed service worse ever love missing kitchen,0
OK BACK tied my game  but were in the play offs ,ok back tied my game but were in the play offs,ok back tied game play offs,0
my teeth hurt ,my teeth hurt,teeth hurt,0
@thefella Ha how random! But now I'm craving cake ,user ha how random but now i am craving cake,user ha random craving cake,0
@SexyLiah  no my iTunes won't download It,user no my itunes will not download it,user no itunes not download,0
@andiiii_ I like it. and @ everyone else; Old episodes of family guy = ,user i like it and user everyone else old episodes of family guy,user like user everyone else old episode family guy,0
this is it! it's the day! - gue dari pagi nugguin pak pos. belum dateng2  deg2an bgt gilaaaa. honestly gue... http://tumblr.com/xei23in7m,this is it it is the day gue dari pagi nugguin pak pos belum dateng deg an bgt gila honestly gue url,day gue dari pagi nugguin pak po belum dateng deg bgt gila honestly gue url,0
I'm at school!!!!! Moved in and everything.. Jake just left.. ,i am at school moved in and everything jake just left,school moved everything jake left,0
FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!,fuck wasting deodorant i are not goin no where i are not havin company let me funk it to ya,fuck wasting deodorant not goin no not havin company let funk ya,0
@sophiestication That AppGuide link didn't seem to be working  Got a 404 not found.,user that appguide link did not seem to be working got a not found,user appguide link not seem working got not found,0
 I wanted the cavs to win it all! Defense wins the game Cavs.... I don't like loosing and I know this is alot of pressure on Bron.,i wanted the cavs to win it all defense wins the game cavs i do not like loosing and i know this is alot of pressure on bron,wanted cavs win defense win game cavs not like loosing know alot pressure bron,0
damn my Bf left without goodbye..  i miss him and idk whats wrong.,damn my bf left without goodbye i miss him and i do not know what is wrong,damn bf left without goodbye miss not know wrong,0
"yummi yummi first going to eat something (bbq, I love it)  and then meeting my friend whos back from India yeahh I missed her ",yummi yummi first going to eat something bbq i love it and then meeting my friend who is back from india h i missed her,yummi yummi first going eat something bbq love meeting friend back india missed,0
@TiffanyHeyy  im dissappoiintteeedddd,user i am dissappoiinttd,user dissappoiinttd,0
@muzzlepuffs Are you using Grails 1.1.1? I forgot to mention not to use that with that book. ,user are you using grails i forgot to mention not to use that with that book,user using grail forgot mention not use book,0
I'm kind of depressed that the #meerkats haven't event made an impact. I do love a good meerkat ,i am kind of depressed that the hashtag have not event made an impact i do love a good meerkat,kind depressed hashtag not event made impact love good meerkat,0
@CallMeNicole it's not like that nikki. ,user it is not like that nikki,user not like nikki,0
is wondering about where to get a second job. It was hard enough finding just one. ,is wondering about where to get a second job it was hard enough finding just one,wondering get second job hard enough finding one,0
@oOh_Shawty LMAO IKR? the theatre was pretty empty and I was the only one laughing at some of the scenes  everybody was like ...... :l,user lmao ikr the theatre was pretty empty and i was the only one laughing at some of the scenes everybody was like l,user lmao ikr theatre pretty empty one laughing scene everybody like,0
is packing up for 2 weeks of house sitting ,is packing up for weeks of house sitting,packing week house sitting,0
i don't want that the hills finish ,i do not want that the hills finish,not want hill finish,0
"12:20. Online at school. My classmate is a creepy fucking stalker, I hate him ",online at school my classmate is a creepy fucking stalker i hate him,online school classmate creepy fucking stalker hate,0
"i just realised, no more 3am msn chats untill like 2 weeks time  'ss gonna suck tbh!",i just realised no more am msn chats untill like weeks time ss going to suck tbh,realised no msn chat untill like week time s going suck tbh,0
PBC summer camp 2009 is here! Day 2 in the books... lets do this! But first could your girl please get some sleep ,pbc summer camp is here day in the books let us do this but first could your girl please get some sleep,pbc summer camp day book let first girl please get sleep,0
@http://twitpic.com/7qo9s Wanna go to the beach.. But still raining outside! ,user want to go to the beach but still raining outside,user want go beach still raining outside,0
@distortedretina i think i left my phone with you so i can't call ,user i think i left my phone with you so i can not call,user think left phone not call,0
im facebooking and waiting for Sex and the City to start. i wanna party hardy! and i don't want him to be away for so long ,i am facebooking and waiting for sex and the city to start i want to party hardy and i do not want him to be away for so long,facebooking waiting sex city start want party hardy not want away long,0
Trying to cut the grass while babysitting...&amp; just realized EVA hates the lawn mower ,trying to cut the grass while babysitting just realized eva hates the lawn mower,trying cut grass babysitting realized eva hate lawn mower,0
@its_abbeyy yeah me too  it sucks,user me too it sucks,user suck,0
@jaimedurante cool ,user cool,user cool,0
@ashface i bought myself a box of scooby doo ones yesterday and then my little brother ate them all  ,user i bought myself a box of scooby doo ones yesterday and then my little brother ate them all,user bought box scooby doo one yesterday little brother ate,0
@Mz_LaLa8701 I got radio all day on the 4th and 5th  Hot 97  then power 1051,user i got radio all day on the th and th hot then power,user got radio day th th hot power,0
I'm sad from being told about a lady who lost a baby ,i am sad from being told about a lady who lost a baby,sad told lady lost baby,0
Just landed in NYC! Missing the sunny weather and home already ,just landed in nyc missing the sunny weather and home already,landed nyc missing sunny weather home already,0
leave the house.....THEY CANCEL!!!! I HATE THAT!!!! I SOOO NEEDED THAT MONEY! ,leave the house they cancel i hate that i s needed that money,leave house cancel hate needed money,0
@dELYSEious God hates me. I shant ever #skeptwiit apparently ,user god hates me i shall not ever hashtag apparently,user god hate shall not ever hashtag apparently,0
Thanx for tweets re Donal! How absolutely terrible   why do ppl do such things ?,thanx for tweets re donal how absolutely terrible why do ppl do such things,thanx tweet donal absolutely terrible ppl thing,0
"@soumen08 Geany has a plugin architecture, the problem being that it can be written only using C and they need to be compiled ",user geany has a plugin architecture the problem being that it can be written only using c and they need to be compiled,user geany plugin architecture problem written using need compiled,0
driving to grand rapids. its storming so bad ,driving to grand rapids it is storming so bad,driving grand rapid storming bad,0
is very annoyed and disappointed from one friend ,is very annoyed and disappointed from one friend,annoyed disappointed one friend,0
@miss_r I think you're way too smart for me ,user i think you are way too smart for me,user think way smart,0
Why did my falafel fall apart??? ,why did my falafel fall apart,falafel fall apart,0
My hair...I look like a boy now ,my hair i look like a boy now,hair look like boy,0
"awww, i won't see my wonderful cosmo flapjack tatiano archie until july ",w i will not see my wonderful cosmo flapjack tatiano archie until july,not see wonderful cosmo flapjack tatiano archie july,0
unfortunately i gotz to gooooooo..gotta jet ,unfortunately i gotz to go got to jet,unfortunately gotz go got jet,0
"headache, i always get tons of headaches at this time of year, its too hot! ",headache i always get tons of headaches at this time of year it is too hot,headache always get ton headache time year hot,0
"@bellaababbyy Suppppppppp nigg? Im doing nothing  what about yall, yall?",user su nigg i am doing nothing what about you all you all,user su nigg nothing,0
you're not the same anymore. ,you are not the same anymore,not anymore,0
@DawnRichard un-crash my car ,user un crash my car,user un crash car,0
woke up today to snow on the ground  I thought Spring was here! Going to classes and spending the rest of my life in the Ceramics studio.,woke up today to snow on the ground i thought spring was here going to classes and spending the rest of my life in the ceramics studio,woke today snow ground thought spring going class spending rest life ceramic studio,0
"@xlaurajaynex I want them to come back in 2010, only. Please!!! HAHAH Otherwise I probably won't be able to come  And spend (more) money",user i want them to come back in only please h otherwise i probably will not be able to come and spend more money,user want come back please otherwise probably not able come spend money,0
Going to doctor for regular 38 week check up. Mom feels defeated and has no hope of progress. I think I hear her crying ,going to doctor for regular week check up mom feels defeated and has no hope of progress i think i hear her crying,going doctor regular week check mom feel defeated no hope progress think hear cry,0
ughh nothing is on TV! sooo bored ,ughh nothing is on tv s bored,ughh nothing tv bored,0
good morning world! i'm awaaakeeee.. gym in 3 hours.. but my baby won't be joining me this time. he's got work  boo!,good morning world i am awke gym in hours but my baby will not be joining me this time he is got work boo,good morning world awke gym hour baby not joining time got work boo,0
@shutterxdown I know!!! I just saw that on the news! Sad day ,user i know i just saw that on the news sad day,user know saw news sad day,0
"bad day.    also, my eyes are heavy with sleepy sand.  firefly and bed.  possibly sex.",bad day also my eyes are heavy with sleepy sand firefly and bed possibly sex,bad day also eye heavy sleepy sand firefly bed possibly sex,0
"Swom team was TERRIBLE!!! The water was cold, the drills were exhausting, i dont think i can take another month of this... ",swom team was terrible the water was cold the drills were exhausting i do not think i can take another month of this,swom team terrible water cold drill exhausting not think take another month,0
@alexisnotfunny I can't control what Mail.app does! Especially on 3.0 Beta 5 firmware! ,user i can not control what mail app does especially on beta firmware,user not control mail app especially beta firmware,0
"Holy smokes, I'm really feeling yucky. Hope it goes away soon, I hate being sick. ",holy smokes i am really feeling yucky hope it goes away soon i hate being sick,holy smoke really feeling yucky hope go away soon hate sick,0
@serialseb sadly not as I'm still employed ,user sadly not as i am still employed,user sadly not still employed,0
Back from training Feeling tiered and sore (opponent was 100kg  ) Now have a good night sleep,back from training feeling tiered and sore opponent was kg now have a good night sleep,back training feeling tiered sore opponent kg good night sleep,0
"i like the core animation in tweetie, its faster then bluebird...in other news, mondays always surprise me with the amount of work due ",i like the core animation in tweetie it is faster then bluebird in other news mondays always surprise me with the amount of work due,like core animation tweetie faster bluebird news monday always surprise amount work due,0
Les Mes was amazing!!! Shopping in oxford street for hours was also fab! I now have a horrid cold which is a bit crap really!!  x,les mes was amazing shopping in oxford street for hours was also fab i now have a horrid cold which is a bit crap really x,le me amazing shopping oxford street hour also fab horrid cold crap really,0
@Ozquilter i know  But got things done so that rest of the week will be relatively sane!,user i know but got things done so that rest of the week will be relatively sane,user know got thing done rest week relatively sane,0
@Superdonutman OMG! we may be apart but we still both share the pain + sadness of media revision !!! IT'S TERRIBLE ,user god we may be apart but we still both share the pain sadness of media revision it is terrible,user god may apart still share pain sadness medium revision terrible,0
worried about my friend's health.... ,worried about my friend s health,worried friend health,0
is trying not to work ,is trying not to work,trying not work,0
Is very bored and offer to do something and wishes he could see or talk to him..but obvs can't ,is very bored and offer to do something and wishes he could see or talk to him but obvs can not,bored offer something wish see talk obvs not,0
Can't find the Dave Aude version of Patron Tequila ,can not find the dave aude version of patron tequila,not find dave aude version patron tequila,0
honestly doesn't know who she is going to go on feeling like this all the time but doesnt see it ending.. ,honestly does not know who she is going to go on feeling like this all the time but does not see it ending,honestly not know going go feeling like time not see ending,0
@apezface Nooooo! I have to leave at 5:30 today! ,user noo i have to leave at today,user noo leave today,0
my nephew is wishing good luck for the protests. even an 8 year old's concern is freedom. ,my nephew is wishing good luck for the protests even an year old s concern is freedom,nephew wishing good luck protest even year old concern freedom,0
@lewisusher I hell want one but I have to finish my hiptop plan ,user i hell want one but i have to finish my hiptop plan,user hell want one finish hiptop plan,0
"i had to settle for bran flakes, coz if i'd eaten any of the crunchy nut, tasha would have broken my spine ",i had to settle for bran flakes coz if i would eaten any of the crunchy nut tasha would have broken my spine,settle bran flake coz eaten crunchy nut tasha broken spine,0
"Revising gender and the workplace is somewhat disheartening, females earn 18.8% less an hour than males...nice to know for my future! ",revising gender and the workplace is somewhat disheartening females earn less an hour than males nice to know for my future,revising gender workplace somewhat disheartening female earn le hour male nice know future,0
"@victoriastevens yeah, i've started too ",user i have started too,user started,0
gotta sleep now  rain tomorrow please?,got to sleep now rain tomorrow please,got sleep rain tomorrow please,0
hey people what up just got back i got my eye brows down WAXING hearts WAHHHHHHHHHHHHHHHHHHH that realy heart ,hey people what up just got back i got my eye brows down waxing hearts whh that realy heart,hey people got back got eye brow waxing heart whh realy heart,0
"Is sad, disappointed and confused. No mood to sell Breadou today... Hikss  ",is sad disappointed and confused no mood to sell breadou today hikss,sad disappointed confused no mood sell breadou today hikss,0
"so...Blink 182 is back together; is that the death of Angels &amp; Airwaves, then? ",so blink is back together is that the death of angels airwaves then,blink back together death angel airwave,0
"@belladonna20 ah that way , yea I understand ",user ah that way yea i understand,user ah way yea understand,0
@rockfanatick yea im just playing on facebook &amp; myspace....trying to relax...had a crap day at work ,user yea i am just playing on facebook myspace trying to relax had a crap day at work,user yea playing facebook myspace trying relax crap day work,0
I won't be home for Miss USA tonight  boooo,i will not be home for miss usa tonight bo,not home miss usa tonight bo,0
"i still have not seen the hangover   hopefully i can catch it tomorrow morning before work. as for now, im off to work. woe is me.",i still have not seen the hangover hopefully i can catch it tomorrow morning before work as for now i am off to work woe is me,still not seen hangover hopefully catch tomorrow morning work work woe,0
i am sickk soo i stayed home from school ,i am sickk soo i stayed home from school,sickk soo stayed home school,0
Still no #beejiveim 3.0 in the app store ,still no hashtag in the app store,still no hashtag app store,0
Its almost 3 am and I'm wide awake ,it is almost am and i am wide awake,almost wide awake,0
@LoWaldorf i only got 71% of your quiz ,user i only got of your quiz,user got quiz,0
@JanaAlyssa yeah I just want to do it  aw that's still awhile! I want to do Europe again &amp; stay in England for awhile to look at all the,user i just want to do it aw that is still awhile i want to do europe again stay in england for awhile to look at all the,user want aw still awhile want europe stay england awhile look,0
Today is a work day ,today is a work day,today work day,0
@WarrenYip bart is not fun at all  excitement died down too fast.,user bart is not fun at all excitement died down too fast,user bart not fun excitement died fast,0
"@ohnoscarlett oh noooooooo, I am up north next Sat for my dad's 65th bday! ",user noo i am up north next sat for my dad s th birthday,user noo north next sat dad th birthday,0
@amyrod84 I thought u meant me ,user i thought you meant me,user thought meant,0
@kirstiealley &quot;Pelham&quot; remake is not a good movie ,user pelham remake is not a good movie,user pelham remake not good movie,0
"Oy! my friend and i went on an intense walk the other day, now my calves hurt like nobody's business ",oy my friend and i went on an intense walk the other day now my calves hurt like nobody s business,oy friend went intense walk day calf hurt like nobody business,0
must have coffee ,must have coffee,must coffee,0
"fireworks on opposite side o bldg, can only hear n c reflected sparks ",fireworks on opposite side of bldg can only hear n c reflected sparks,firework opposite side bldg hear reflected spark,0
argh why cant i see my picture ,argh why can not i see my picture,argh not see picture,0
watching prom night...i still dont have anyone to go with to the promotion dance  and its next week!,watching prom night i still do not have anyone to go with to the promotion dance and it is next week,watching prom night still not anyone go promotion dance next week,0
Stuck working with Amberoshia AND Christina. I wanna shoot myself in the foot so I can go home.. Or does that only work in the Army? ,stuck working with amberoshia and christina i want to shoot myself in the foot so i can go home or does that only work in the army,stuck working amberoshia christina want shoot foot go home work army,0
"@aliceiscwl im alright, bad belly tho  haha, and why are u even gonna give me a hug? you loser haha x",user i am alright bad belly tho and why are you even going to give me a hug you loser x,user alright bad belly tho even going give hug loser,0
"After finally getting hold of OS 3.0 4 Iphone, I'm left disappointed that I haven't bn able 2 receive mms ",after finally getting hold of os iphone i am left disappointed that i have not bn able receive mms,finally getting hold o iphone left disappointed not bn able receive mm,0
"Got most the way to ASDA and road closed due to am accident, driving to other now. So hungry ",got most the way to asda and road closed due to am accident driving to other now so hungry,got way asda road closed due accident driving hungry,0
@dammar Sad to hear about your supplier.  Sounds like those pigments would be awesome!,user sad to hear about your supplier sounds like those pigments would be awesome,user sad hear supplier sound like pigment awesome,0
So I'm supposed to have the entire script memorized by tomorrow... looks like I have a lot of work to do today ,so i am supposed to have the entire script memorized by tomorrow looks like i have a lot of work to do today,supposed entire script memorized tomorrow look like lot work today,0
@$%%#%^*&amp;$^&amp;*^&amp;^%&amp;%^#@$%#$&amp;!!!! I&quot;M SO HUNGRY AND TIREDD ,user hashtag i m so hungry and tiredd,user hashtag hungry tiredd,0
feeling a little ,feeling a little,feeling little,0
@Dakit so am I! This is so much more fun! ;) Amsterdam is cold and rainy!  How are you?,user so am i this is so much more fun amsterdam is cold and rainy how are you,user much fun amsterdam cold rainy,0
"Finally, i am back and started work today.... But i had left my wallet and $$ at home... what a day... ",finally i am back and started work today but i had left my wallet and at home what a day,finally back started work today left wallet home day,0
I'm sorry why haven't u called  back,i am sorry why have not you called back,sorry not called back,0
"@SupaPreet Exams  Had 5 so far, 4 more to go. Yuck! How about you?",user exams had so far more to go yuck how about you,user exam far go yuck,0
@millzz123 a banana hey? i hate banana's ,user a banana hey i hate banana s,user banana hey hate banana,0
@chrisspeer how is it?  I work til 5. ,user how is it i work until,user work,0
Damn my tummy hurts ,damn my tummy hurts,damn tummy hurt,0
Revising for English and geography exam 2moz  in the sun!!! ,revising for english and geography exam moz in the sun,revising english geography exam moz sun,0
@NYT_JenPreston @JohnEi That link (How should news sites use Twitter) is 404 ,user user that link how should news sites use twitter is,user user link news site use twitter,0
seriously 3am with crying baby  its been a while since i had to pull this one. ~ m y a h ~,seriously am with crying baby it is been a while since i had to pull this one m y a h,seriously cry baby since pull one,0
"dear mystery guy who left the flowers and poem in on my porch, PLEASE REVEAL YOURSELF .  thank you .",dear mystery guy who left the flowers and poem in on my porch please reveal yourself thank you,dear mystery guy left flower poem porch please reveal thank,0
wished i knew Titanic was on Tonight  I missed it,wished i knew titanic was on tonight i missed it,wished knew titanic tonight missed,0
@vfclovexoxo haven't talked in a while??where you lost??By VFC??lol and you never reply to me on youtube ,user have not talked in a while where you lost by vfc and you never reply to me on youtube,user not talked lost vfc never reply youtube,0
wants to play sims 3 badly ,wants to play sims badly,want play sims badly,0
@peaceluvamber a really sucky summer ,user a really sucky summer,user really sucky summer,0
Just got out of work ,just got out of work,got work,0
next year ,next year,next year,0
"I guess I'm just not bothered. It's a blog, not the end of the world/band or something. ",i guess i am just not bothered it is a blog not the end of the world band or something,guess not bothered blog not end world band something,0
"well I was going to take a benadryll &amp; counter act it's sleepy effects with coffee but apparently the car is broken, a hose, o'piddly poo ",well i was going to take a benadryll counter act it is sleepy effects with coffee but apparently the car is broken a hose of piddly poo,well going take benadryll counter act sleepy effect coffee apparently car broken hose piddly poo,0
arrived at home now. wanna service my camera ,arrived at home now want to service my camera,arrived home want service camera,0
Getting ready for church with dad   then eating with grandparents. another sad thing.,getting ready for church with dad then eating with grandparents another sad thing,getting ready church dad eating grandparent another sad thing,0
is wishing I was back on the beach instead of getting ready for work!  ,is wishing i was back on the beach instead of getting ready for work,wishing back beach instead getting ready work,0
@stellery That's too bad. ,user that is too bad,user bad,0
uhmm I'm doing nothing   InsÃ´nia vale?,you i am doing nothing ins nia vale,nothing in nia vale,0
Really misses her husband today and still got 7 more sleeps until he is home ,really misses her husband today and still got more sleeps until he is home,really miss husband today still got sleep home,0
pudd: sorry  i'll come back to you soon i promise &lt;3,pudd sorry i will come back to you soon i promise,pudd sorry come back soon promise,0
I want to watch the office  ,i want to watch the office,want watch office,0
Yesterday sucked! I got the worst mirgrain ever  today has been better just working all day!,yesterday sucked i got the worst mirgrain ever today has been better just working all day,yesterday sucked got worst mirgrain ever today better working day,0
@tweetweight 232.4 went WAY over my calorie budget yesterday. ,user went way over my calorie budget yesterday,user went way calorie budget yesterday,0
"@Me_li_ss_a you are the next octomom, you awful person. no one scumbags like @perezhilton are popular. tards like you. your poor kids ",user you are the next octomom you awful person no one scumbags like user are popular tards like you your poor kids,user next octomom awful person no one scumbags like user popular tards like poor kid,0
Traffic as usual... ,traffic as usual,traffic usual,0
Working till 2.   It looks like we are going to have more rain and gray skies.  Wish I could get back in bed,working till it looks like we are going to have more rain and gray skies wish i could get back in bed,working till look like going rain gray sky wish get back bed,0
Missing out that HU home cooking... ,missing out that hu home cooking,missing hu home cooking,0
"@KerryyBerryy.... so I couldn't see it, went the carwash yday and then a massive crack appeared after  grr",user so i could not see it went the carwash yday and then a massive crack appeared after,user not see went carwash yday massive crack appeared,0
"We are at Stocksbridge school selling ice cream tubs  ...,, in the rain ",we are at stocksbridge school selling ice cream tubs in the rain,stocksbridge school selling ice cream tub rain,0
@mhuhta My Dunkin' iced latte is feeling inferior and embarrassed ,user my dunkin iced latte is feeling inferior and embarrassed,user dunkin iced latte feeling inferior embarrassed,0
I hate going to bed on an empty stomach.. ,i hate going to bed on an empty stomach,hate going bed empty stomach,0
OOC tour is officially over!  ...what will I do with myself til the next one comes around?!,ooc tour is officially over what will i do with myself until the next one comes around,ooc tour officially next one come around,0
got boo boos from broken glass ,got boo boos from broken glass,got boo boo broken glass,0
The wind and rain seriously don't agree with my hair. ,the wind and rain seriously do not agree with my hair,wind rain seriously not agree hair,0
@thenewbnb @shivaranjan @arjunvj waat lag gai pairo ki!  hopefully I'll be able to run soon,user user user waat lag gai pairo ki hopefully i will be able to run soon,user user user waat lag gai pairo ki hopefully able run soon,0
Not much progress this weekend..... ,not much progress this weekend,not much progress weekend,0
"@Chris2685 Hmm, no, it's working for me.  See if you can get the EA download manager in and put your code in there and see if it accepts. ",user no it is working for me see if you can get the ea download manager in and put your code in there and see if it accepts,user no working see get ea download manager put code see accepts,0
"back from school, but have to go now again ",back from school but have to go now again,back school go,0
my throat hurts a little.. yucky ,my throat hurts a little yucky,throat hurt little yucky,0
Is at work  ohwell need money so : D,is at work ohwell need money so d,work ohwell need money,0
waiting for the weekend is like waiting for christmas... it feels like its never gonna come and when it does it goes by too fast! ,waiting for the weekend is like waiting for christmas it feels like it is never going to come and when it does it goes by too fast,waiting weekend like waiting christmas feel like never going come go fast,0
@MdmPoppyFields lmfao im sorry but that was hilarious! okay Sims 3 is pretty addicting... sighs like a drug.. ,user lmfao i am sorry but that was hilarious okay sims is pretty addicting sighs like a drug,user lmfao sorry hilarious okay sims pretty addicting sigh like drug,0
I hate it when you think you have a really great friend you can trust but find out otherwise. ,i hate it when you think you have a really great friend you can trust but find out otherwise,hate think really great friend trust find otherwise,0
Surprised at how many usability problems we're getting with @google docs. They don't call it Beta for nothing ,surprised at how many usability problems we are getting with user docs they do not call it beta for nothing,surprised many usability problem getting user doc not call beta nothing,0
"hey everyone in the us, watch dollhouse. be grateful that you get to watch it while we poor deprived australians must wait for the dvd ",hey everyone in the us watch dollhouse be grateful that you get to watch it while we poor deprived australians must wait for the dvd,hey everyone watch dollhouse grateful get watch poor deprived australian must wait dvd,0
i kissed a girl and i like this ..!oh god ...! i am hungry..!   too bad,i kissed a girl and i like this god i am hungry too bad,kissed girl like god hungry bad,0
@russelltanner thanks carphone warehouse still say no  but then it's closing time... They wanna go home. Doors locked.,user thanks carphone warehouse still say no but then it is closing time they want to go home doors locked,user thanks carphone warehouse still say no closing time want go home door locked,0
Want to be at Wembley on September 19th... Life is so cruel. ,want to be at wembley on september th life is so cruel,want wembley september th life cruel,0
@courtcourtbaby you better miss me! ive never been apart from you this long ever! ,user you better miss me i have never been apart from you this long ever,user better miss never apart long ever,0
results are in ; i have a 105.3 fever  - mom wants to give me pills . fucking annoyedd and im hot and freezing at the same damn time.,results are in i have a fever mom wants to give me pills fucking annoyedd and i am hot and freezing at the same damn time,result fever mom want give pill fucking annoyedd hot freezing damn time,0
@basketballncaa why arent you follow me any more ?  !,user why are not you follow me any more,user not follow,0
"last night in rochester. somerset for 2 months, then baaaack to pittsburgh.  bummed the hell out   i HATE somerset!!!",last night in rochester somerset for months then back to pittsburgh bummed the hell out i hate somerset,last night rochester somerset month back pittsburgh bummed hell hate somerset,0
What ever happend to Saturday morning cartoons? Can't find any to fall asleep to ,what ever happend to saturday morning cartoons can not find any to fall asleep to,ever happend saturday morning cartoon not find fall asleep,0
@Popple3 rage. 5% on this game.. I may need coffee ,user rage on this game i may need coffee,user rage game may need coffee,0
Terribly poor golf this morning ,terribly poor golf this morning,terribly poor golf morning,0
